2017/12/20,1484.47,-9.29,-0.62
2017/12/19,1493.76,-14.49,-0.9607
2017/12/18,1508.25,-0.89,-0.059
2017/12/17,1509.14,-11.01,-0.7243
2017/12/14,1518.03,-2.71,-0.1782
2017/12/13,1520.74,10.53,0.7
2017/12/12,1510.21,-17.54,-1.1481
2017/12/11,1527.75,-2.74,-0.179
2017/12/10,1530.49,-6.05,-0.3937
2017/12/06,1536.54,11.67,0.7653
2017/12/05,1524.87,-1.9,-0.1244
2017/12/04,1526.77,-10.9,-0.7089
2017/11/30,1537.67,1.55,0.1
2017/11/29,1536.12,12.26,0.8
2017/11/28,1523.86,10.12,0.6685
2017/11/27,1513.74,-0.6,-0.0396
2017/11/26,1514.34,21.05,1.41
2017/11/23,1493.29,13.03,0.88
2017/11/22,1480.26,8.02,0.5447
2017/11/21,1472.24,3.08,0.2096
2017/11/20,1469.16,-6.56,-0.4445
2017/11/19,1475.72,-13.34,-0.9
2017/11/16,1489.06,-15.73,-1.0453
2017/11/15,1504.79,-11.23,-0.7408
2017/11/14,1516.02,25.14,1.6863
2017/11/13,1490.88,13.74,0.9302
2017/11/12,1477.14,16.41,1.12
2017/11/09,1460.73,-5.89,-0.4016
2017/11/08,1466.62,-17.83,-1.2011
2017/11/07,1484.45,-8.97,-0.6006
2017/11/06,1493.42,-3.04,-0.2
2017/11/05,1496.46,-26.35,-1.7304
2017/11/02,1522.81,-3.7,-0.2424
2017/11/01,1526.51,-7.02,-0.4578
2017/10/31,1533.53,-3.19,-0.2076
2017/10/30,1536.72,-3.51,-0.2279
2017/10/29,1540.23,-13.49,-0.87
2017/10/25,1553.72,-13.92,-0.888
2017/10/24,1567.64,-0.66,-0.04
2017/10/23,1568.3,-3.62,-0.23
2017/10/22,1571.92,3.57,0.2276
2017/10/18,1568.35,9.17,0.5881
2017/10/17,1559.18,-5.72,-0.3655
2017/10/16,1564.9,46.62,3.0706
2017/10/15,1518.28,8.26,0.547
2017/10/12,1510.02,4.03,0.2676
2017/10/11,1505.99,3.36,0.2236
2017/10/10,1502.63,0.74,0.0493
2017/10/09,1501.89,-8.12,-0.5377
2017/10/08,1510.01,-32.64,-2.1158
2017/10/04,1542.65,-13.7,-0.88
2017/10/03,1556.35,6.89,0.4447
2017/09/26,1549.46,4.02,0.2601
2017/09/25,1545.44,8.52,0.5544
2017/09/24,1536.92,-2.89,-0.1877
2017/09/20,1539.81,-3.89,-0.252
2017/09/18,1543.7,-4.24,-0.2739
2017/09/17,1547.94,17.63,1.1521
2017/09/14,1530.31,37.11,2.4853
2017/09/13,1493.2,-9.0,-0.5991
2017/09/12,1502.2,-21.06,-1.3826
2017/09/11,1523.26,3.6,0.2369
2017/09/10,1519.66,-34.89,-2.2444
2017/09/07,1554.55,-11.95,-0.7628
2017/09/06,1566.5,11.94,0.7681
2017/09/04,1554.56,-25.47,-1.612
2017/08/31,1580.03,-18.33,-1.15
2017/08/30,1598.36,-14.55,-0.9
2017/08/28,1612.91,-9.41,-0.58
2017/08/27,1622.32,4.51,0.28
2017/08/24,1617.81,6.54,0.41
2017/08/23,1611.27,-2.78,-0.1722
2017/08/22,1614.05,2.48,0.1539
2017/08/21,1611.57,-6.4,-0.3956
2017/08/20,1617.97,-11.78,-0.7228
2017/08/17,1629.75,-2.91,-0.1782
2017/08/16,1632.66,3.5,0.2148
2017/08/15,1629.16,-12.97,-0.7898
2017/08/13,1642.13,-11.4,-0.6894
2017/08/10,1653.53,-8.19,-0.4929
2017/08/09,1661.72,-6.22,-0.3729
2017/08/07,1667.94,2.89,0.17
2017/08/06,1665.05,4.47,0.2692
2017/08/03,1660.58,-2.16,-0.13
2017/08/02,1662.74,2.49,0.15
2017/08/01,1660.25,7.56,0.4574
2017/07/31,1652.69,9.41,0.5726
2017/07/30,1643.28,-3.25,-0.2
2017/07/27,1646.53,1.5,0.0912
2017/07/26,1645.03,8.84,0.5403
2017/07/25,1636.19,7.11,0.4364
2017/07/24,1629.08,-6.48,-0.3962
2017/07/23,1635.56,-0.19,-0.0116
2017/07/20,1635.75,-1.52,-0.0928
2017/07/19,1637.27,-1.14,-0.0696
2017/07/18,1638.41,34.26,2.1357
2017/07/17,1604.15,20.58,1.2996
2017/07/16,1583.57,0.9,0.0569
2017/07/13,1582.67,-4.89,-0.308
2017/07/12,1587.56,2.55,0.1609
2017/07/11,1585.01,9.79,0.6215
2017/07/10,1575.22,-8.93,-0.5637
