Symbol,Date,LTP,High,Low,Open,Quantity,Turnover
API,2018/07/11,293.0,301.0,291.0,295.0,3338.0,987124.0
API,2018/07/10,296.0,298.0,290.0,293.0,1822.0,538963.0
API,2018/07/09,293.0,299.0,290.0,299.0,1812.0,530710.0
API,2018/07/08,303.0,306.0,291.0,291.0,5244.0,1575210.0
API,2018/07/05,295.0,307.0,285.0,285.0,5724.0,1712540.0
API,2018/07/04,284.0,290.0,274.0,274.0,2602.0,738379.0
API,2018/07/03,278.0,283.0,275.0,275.0,832.0,231732.0
API,2018/07/02,280.0,280.0,275.0,278.0,804.0,223401.0
API,2018/07/01,282.0,285.0,280.0,285.0,3367.0,948191.0
API,2018/06/28,285.0,290.0,282.0,282.0,3881.0,1109440.0
API,2018/06/27,285.0,300.0,283.0,283.0,2588.0,747737.0
API,2018/06/26,285.0,300.0,283.0,300.0,2135.0,612436.0
API,2018/06/25,297.0,298.0,289.0,293.0,1772.0,519042.0
API,2018/06/24,298.0,300.0,290.0,290.0,1410.0,415451.0
API,2018/06/21,295.0,305.0,294.0,300.0,1938.0,574650.0
API,2018/06/20,298.0,301.0,298.0,301.0,328.0,98485.0
API,2018/06/19,304.0,313.0,301.0,307.0,1017.0,307687.0
API,2018/06/18,307.0,307.0,295.0,302.0,1394.0,418872.0
API,2018/06/17,308.0,318.0,300.0,318.0,3008.0,911186.0
API,2018/06/14,319.0,319.0,295.0,301.0,3878.0,1177520.0
API,2018/06/13,296.0,300.0,290.0,291.0,4515.0,1330380.0
API,2018/06/12,291.0,301.0,284.0,289.0,4694.0,1374100.0
API,2018/06/11,294.0,300.0,283.0,285.0,8155.0,2383900.0
API,2018/06/10,287.0,304.0,286.0,300.0,5680.0,1648510.0
API,2018/06/07,300.0,302.0,295.0,301.0,8205.0,2433510.0
API,2018/06/06,306.0,320.0,302.0,302.0,4232.0,1291600.0
API,2018/06/04,297.0,301.0,292.0,297.0,4253.0,1268340.0
API,2018/06/03,303.0,310.0,300.0,306.0,5490.0,1673800.0
API,2018/05/31,312.0,324.0,305.0,324.0,6620.0,2066190.0
API,2018/05/30,324.0,330.0,321.0,321.0,3923.0,1277500.0
API,2018/05/29,321.0,327.0,314.0,325.0,3476.0,1117740.0
API,2018/05/28,328.0,328.0,295.0,310.0,7004.0,2183501.0
API,2018/05/27,312.0,325.0,310.0,325.0,5440.0,1712380.0
API,2018/05/24,325.0,332.0,324.0,324.0,2260.0,739053.0
API,2018/05/23,324.0,335.0,324.0,326.0,1101.0,361943.0
API,2018/05/22,333.0,335.0,330.0,330.0,1793.0,595134.0
API,2018/05/21,337.0,345.0,333.0,333.0,3869.0,1305080.0
API,2018/05/20,336.0,340.0,332.0,337.0,870.0,294070.0
API,2018/05/17,337.0,346.0,335.0,340.0,3035.0,1022450.0
API,2018/05/16,335.0,341.0,329.0,329.0,2120.0,714656.0
API,2018/05/15,335.0,340.0,335.0,340.0,444.0,149855.0
API,2018/05/14,338.0,342.0,335.0,335.0,2714.0,917175.0
API,2018/05/10,338.0,354.0,336.0,348.0,6058.0,2062980.0
API,2018/05/09,348.0,369.0,344.0,350.0,1864.0,654064.0
API,2018/05/08,350.0,350.0,337.0,350.0,2278.0,788341.0
API,2018/05/07,349.0,355.0,344.0,348.0,5616.0,1951700.0
API,2018/05/06,349.0,355.0,347.0,355.0,2702.0,942793.0
API,2018/05/03,355.0,360.0,348.0,360.0,5538.0,1967410.0
API,2018/05/02,358.0,358.0,330.0,342.0,4047.0,1387675.0
API,2018/04/29,342.0,350.0,340.0,350.0,6097.0,2103950.0
API,2018/04/26,350.0,370.0,346.0,360.0,6381.0,2263620.0
API,2018/04/25,363.0,370.0,352.0,356.0,4185.0,1508840.0
API,2018/04/24,360.0,372.0,342.0,364.0,9612.0,3476260.0
API,2018/04/23,361.0,400.0,358.0,379.0,32366.0,12311400.0
API,2018/04/22,372.0,372.0,345.0,339.0,16370.0,5940572.0
API,2018/04/19,339.0,345.0,314.0,326.0,25085.0,8301210.0
API,2018/04/18,320.0,336.0,300.0,300.0,22627.0,7190740.0
API,2018/04/17,306.0,310.0,295.0,299.0,4431.0,1348638.0
API,2018/04/16,298.0,299.0,290.0,290.0,9586.0,2831520.0
API,2018/04/15,290.0,291.0,281.0,286.0,2444.0,704432.0
API,2018/04/12,287.0,290.0,285.0,285.0,3471.0,999824.0
API,2018/04/11,285.0,285.0,279.0,284.0,3570.0,1007870.0
API,2018/04/10,280.0,280.0,270.0,275.0,3493.0,952032.0
API,2018/04/09,277.0,295.0,270.0,290.0,9461.0,2692950.0
API,2018/04/08,285.0,300.0,275.0,275.0,6637.0,1880120.0
API,2018/04/05,276.0,285.0,273.0,279.0,4628.0,1281930.0
API,2018/04/04,274.0,278.0,270.0,273.0,4705.0,1292060.0
API,2018/04/03,276.0,278.0,270.0,272.0,747.0,203240.0
API,2018/04/02,267.0,274.0,263.0,263.0,2065.0,556761.0
API,2018/04/01,268.0,279.0,259.0,279.0,2679.0,718639.0
API,2018/03/29,279.0,279.0,262.0,262.0,8252.0,2214090.0
API,2018/03/28,260.0,265.0,257.0,265.0,5892.0,1533540.0
API,2018/03/27,262.0,265.0,246.0,254.0,5128.0,1296580.0
